AllowedStartingMaterialId,Type,ConceptId,Description,Manufacturer,Brand,Strength,Size,ApprovedStatus,ActionOnReceipt,Dose,Location,FirstChoiceForPicking
EFB16FC7-8DB7-472C-80D9-0059A3753211,0,108759002,NULL,Accord,NULL,10 mg/mL,5 mL,1,Quarantine - Check codes (Quarantine - Report to QA/QC),50 mg,,0
84E10D64-A976-4359-860E-0086358A8B98,1,ed4c42ac-b6e5-437f-9ff3-48daa580899b,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
CEDB954E-6E07-4A98-8431-00DCB80052FD,0,23079006,NULL,Hospira,NULL,1 mg/mL,2 mL,1,Quarantine - Check codes (Straight to Stock),2 mg,,0
25F8921E-2986-4FD8-A1D7-011EA344CD21,1,52663d86-50af-4b1e-9b88-4063a8f777f6,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
13F1FC73-17AA-46D7-9CD5-013C94133905,0,422319003,NULL,Teva,NULL,1 mg/mL,10 mL,1,Straight to Stock,10 mg,AJ-A09,0
E84538B7-93EB-488C-B643-0195ACEDFF5A,0,327032007,NULL,Sun Pharma,NULL,5 mg/mL,10 mL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),50 mg,,0
049E74BE-1DBD-440E-95CC-019787F28293,0,64127001,NULL,Orphan Europe (Recordati),NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),500 mcg,AG-C04,0
4D62F0E1-CC13-4FBE-84B2-01A1F6D5AFDA,1,901e8709-1008-426f-a609-cccc47527cee,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,,0
8C20075F-8DA9-4154-91AA-01BF498CC955,1,4d4666c2-6c13-4efc-9c03-f50baf13196a,NULL,NULL,NULL,NULL,NULL,1,Quarantine - Check codes (Straight to Stock),NULL,AB-A08,0
25589C7C-A57D-461E-8132-01C6797E83AF,0,108811008,NULL,Hameln,NULL,N/A,N/A,0,Quarantine - Check codes (Straight to Stock),1000 mg,,0
6F4DDFB2-B9D6-458F-BE5B-02364E52F8E3,1,a1ca707d-86f8-4bbc-bf13-65b4683dff60,NULL,NULL,NULL,NULL,NULL,0,Quarantine - Check codes (Straight to Stock),NULL,,0
0EDC4D86-0176-40DB-96BF-023ED1BA9B93,0,68444001,NULL,Accord,NULL,2 mg/mL,25 mL,1,Straight to Stock,50 mg,BK-B03,0
64A14A61-8305-4242-AF5A-02E285BB4707,0,108811008,NULL,Ranbaxy (UK) Limited (Sun Pharmaceutical),NULL,N/A,N/A,1,Quarantine - Check codes (Straight to Stock),200 mg,,0
C0CC3E87-19AC-4D68-A2B0-031289161FF5,0,35282003,NULL,Bristol-Myers Squibb Pharmaceuticals limited,NULL,10 mg/mL,10 mL,1,Straight to Stock,100 mg,BC-D01,0
25632AFC-C88C-4B79-B0B4-03304ABE5798,1,fe28ff2e-80d9-4e37-98c2-a6a6dbf54467,NULL,NULL,NULL,NULL,NULL,0,Quarantine - Check codes (Quarantine - Report to QA/QC),NULL,,0
